plan_vs_actual.dept_key,plan_vs_actual.division,plan_vs_actual.department,plan_vs_actual.channel,plan_vs_actual.fiscal_year,plan_vs_actual.fiscal_month,plan_vs_actual.fiscal_month_no,plan_vs_actual.has_actual,plan_vs_actual.plan_sales_dollars,plan_vs_actual.budget_sales_dollars,plan_vs_actual.budget_markdown_dollars,plan_vs_actual.budget_receipts_cost,plan_vs_actual.actual_sales_dollars,plan_vs_actual.plan_markdown_dollars,plan_vs_actual.actual_markdown_dollars,plan_vs_actual.actual_eom_retail,plan_vs_actual.plan_bom_retail,plan_vs_actual.plan_eom_retail,plan_vs_actual.plan_receipts_retail,plan_vs_actual.plan_shrink_dollars
Girls Sets,Girls,Sets,Ecommerce,2024,Nov,10,true,131981.23,129618.23,15181.99,88226.17,144337.89,17719.42,24439.85,367869,262219.07,377823.77,265833.27,527.92
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2025,May,4,true,131806.47,130491.35,16807.46,47183.2,139488.41,18509.67,19372.11,397248.62,410914.78,397945.14,137873.73,527.23
Girls Tops,Girls,Tops,Ecommerce,2025,Aug,7,true,131435.06,135451.05,20701.27,52701.61,134726.45,15359.04,11378.67,386157.14,349885.4,397836.58,195271.02,525.74
Girls Dresses,Girls,Dresses,Retail Stores,2026,Aug,7,false,131244.71,125928.43,12554.4,57112.89,,15053.4,,,352129.98,361358.8,156708.14,1181.2
Girls Sets,Girls,Sets,Ecommerce,2026,Mar,2,true,131237.59,128350.13,17772.01,68231.12,106001.24,16981.71,19009.03,317533.78,259990.51,312386.19,201139.93,524.95
Girls Dresses,Girls,Dresses,Wholesale,2026,Sep,8,false,130689.78,123810.55,2343.81,70284.25,,2803.96,,,89494.75,107400.39,151530.08,130.69
Girls Dresses,Girls,Dresses,Retail Stores,2025,Mar,2,true,130232.44,128547.9,14292.39,70665.98,103614.82,14800.38,11975.72,349990.77,267554.96,317339.03,195988.98,1172.09
Girls Bottoms,Girls,Bottoms,Ecommerce,2024,Nov,10,true,129914.93,129618.23,17102.35,96933.3,128030.88,15628.59,17833.63,374750.72,264178.25,394867.11,276752.05,519.66
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2025,Mar,2,true,129815.81,126899.85,14580.05,72139.59,133958.31,15498.34,16397.36,301113.57,266520.36,298228.45,177541.5,519.26
Girls Bottoms,Girls,Bottoms,Ecommerce,2026,Jun,5,true,129268.16,119874.18,15753.79,23929.89,116906.33,18118.21,18136.11,311906.06,422004.94,298333.57,24232.08,517.07
Boys Tops,Boys,Tops,Ecommerce,2025,Nov,10,true,128933.5,127697.96,17744.7,84617.7,119990.25,15971.11,18645.44,403196.97,244513.17,365502.76,266409.94,515.73
Girls Tops,Girls,Tops,Ecommerce,2025,Jul,6,true,127708.14,129294.19,16085.42,71309.34,111219.16,16654.41,20881.65,358272.98,359789.38,349885.4,134969.4,510.83
Girls Bottoms,Girls,Bottoms,Ecommerce,2026,Oct,9,false,127094.64,121085.03,15051.53,75256.94,,15897.8,,,282637.38,374092.84,234956.28,508.38
Girls Dresses,Girls,Dresses,Retail Stores,2024,Apr,3,true,126576.98,125526.75,12134.54,85182.99,136784.46,12147.35,11779.69,330940.22,258259.75,356890.43,238494.2,1139.19
Girls Dresses,Girls,Dresses,Retail Stores,2026,Jul,6,true,126514.17,120204.41,12619.86,55567.81,128840.75,13632.88,17562.79,331506.32,317471.05,352129.98,175944.61,1138.63
Boys Tops,Boys,Tops,Ecommerce,2024,Dec,11,true,126362.55,121350.4,14640.79,30665.63,135955.32,15157.43,17114.21,267048.24,326520.68,280730.45,96235.19,505.45
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2026,Aug,7,false,126299.46,124313.97,16608.69,58744.83,,17732.21,,,364215.62,354148.46,134469.7,505.2
Girls Dresses,Girls,Dresses,Wholesale,2024,Jul,6,true,126186.05,124471.47,2215.29,82197.32,121106.28,2763.75,2139.65,140100.35,100441.86,132592.86,161226.99,126.19
Baby Rompers,Baby,Rompers,Ecommerce,2025,Dec,11,true,125805.72,124505.51,18934.63,41037.2,101364.43,18136.78,23162.79,309664.3,349432.69,287926.21,82939.24,503.22
Girls Sets,Girls,Sets,Ecommerce,2025,Apr,3,true,125653.02,121085.03,15005.66,77527.89,112349.58,15667.96,17619.94,352038.29,248161,348172.76,241835.36,502.61
Girls Sets,Girls,Sets,Ecommerce,2026,Oct,9,false,124179.8,121085.03,18049.23,84404.83,,16288.04,,,256807.09,338037.73,222195.2,496.72
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2024,Apr,3,true,123735.83,123917.43,16963.16,85703.59,136318.53,16190.62,17889.97,349890,257262.99,368646.63,251805.04,494.94
Girls Bottoms,Girls,Bottoms,Ecommerce,2025,Apr,3,true,123196.1,121085.03,17082.96,88602.64,123450.7,14825,19088.65,342063.91,265784.45,340619.89,213349.33,492.78
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2025,Oct,9,true,122474.56,119716.84,17763.51,83938.56,121553.82,15017,15597.23,369196.45,259407.37,357612.4,236186.49,489.9
Girls Sets,Girls,Sets,Ecommerce,2026,Jun,5,true,121974,119874.18,14900.33,8291.49,136095.6,18723.37,18169.66,284727.96,381881.64,295642.17,54945.8,487.9
Girls Tops,Girls,Tops,Ecommerce,2026,Feb,1,true,121854.2,134404.39,17982.13,45033.46,108423.86,18820.31,23210.98,340923.59,416480.12,334490.36,59172.16,487.42
