style_month.style_key,style_month.style_name,style_month.print_name,style_month.division,style_month.department,style_month.dept_key,style_month.class_name,style_month.season,style_month.lifecycle,style_month.channel,style_month.fiscal_year,style_month.units_sold,style_month.sales_dollars,style_month.on_hand_units,style_month.on_order_units
ST-0086,Autumn Gingham Maxi Dress,Autumn Gingham,Women,Dresses,Women Dresses,Maxi Dress,Fall,New,Wholesale,2025,1261,150705.65,2435,656
ST-0088,Nantucket Stripe Day Dress,Nantucket Stripe,Women,Dresses,Women Dresses,Day Dress,Summer,New,Wholesale,2025,1350,141902.28,2408,1646
ST-0006,Winter Fair Isle Maxi Dress,Winter Fair Isle,Girls,Dresses,Girls Dresses,Maxi Dress,Holiday,New,Ecommerce,2026,1724,138462.8,1886,406
ST-0084,Tulip Garden Maxi Dress,Tulip Garden,Women,Dresses,Women Dresses,Maxi Dress,Spring,New,Retail Stores,2026,942,135656.95,1403,749
ST-0004,Winter Fair Isle Day Dress,Winter Fair Isle,Girls,Dresses,Girls Dresses,Day Dress,Holiday,New,Ecommerce,2025,1425,133109.99,2191,1266
ST-0088,Nantucket Stripe Day Dress,Nantucket Stripe,Women,Dresses,Women Dresses,Day Dress,Summer,New,Retail Stores,2026,914,128293.21,1296,563
ST-0088,Nantucket Stripe Day Dress,Nantucket Stripe,Women,Dresses,Women Dresses,Day Dress,Summer,New,Retail Stores,2025,875,123855.88,1068,627
ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Girls Dresses,Party Dress,Holiday,New,Ecommerce,2025,1414,123377.64,1792,492
ST-0004,Winter Fair Isle Day Dress,Winter Fair Isle,Girls,Dresses,Girls Dresses,Day Dress,Holiday,New,Ecommerce,2026,1300,123323.67,1272,702
ST-0088,Nantucket Stripe Day Dress,Nantucket Stripe,Women,Dresses,Women Dresses,Day Dress,Summer,New,Ecommerce,2026,841,113802.32,1649,442
ST-0006,Winter Fair Isle Maxi Dress,Winter Fair Isle,Girls,Dresses,Girls Dresses,Maxi Dress,Holiday,New,Ecommerce,2025,1467,113735.55,2627,687
ST-0094,Snowdrop Tunic,Snowdrop,Women,Tops,Women Tops,Tunic,Holiday,New,Ecommerce,2025,1369,110563.03,2036,686
ST-0005,Palm Frond Maxi Dress,Palm Frond,Girls,Dresses,Girls Dresses,Maxi Dress,Summer,New,Ecommerce,2026,1268,109459.36,2360,1845
ST-0038,Snowdrop Quilted Jacket,Snowdrop,Girls,Outerwear,Girls Outerwear,Quilted Jacket,Holiday,New,Ecommerce,2026,978,108562.95,1131,136
ST-0085,Strawberry Fields Maxi Dress,Strawberry Fields,Women,Dresses,Women Dresses,Maxi Dress,Summer,New,Retail Stores,2025,692,107665.92,1158,674
ST-0002,Strawberry Fields Day Dress,Strawberry Fields,Girls,Dresses,Girls Dresses,Day Dress,Summer,New,Ecommerce,2025,1237,107629.91,1944,849
ST-0002,Strawberry Fields Day Dress,Strawberry Fields,Girls,Dresses,Girls Dresses,Day Dress,Summer,New,Ecommerce,2026,1211,106891.43,2247,1395
ST-0084,Tulip Garden Maxi Dress,Tulip Garden,Women,Dresses,Women Dresses,Maxi Dress,Spring,New,Retail Stores,2025,715,103880.62,950,560
ST-0084,Tulip Garden Maxi Dress,Tulip Garden,Women,Dresses,Women Dresses,Maxi Dress,Spring,New,Ecommerce,2026,684,98794.64,1295,796
ST-0092,Winter Fair Isle Blouse,Winter Fair Isle,Women,Tops,Women Tops,Blouse,Holiday,New,Ecommerce,2025,1203,98421.11,1885,690
ST-0058,Holiday Holly Two-Piece Set,Holiday Holly,Boys,Sets,Boys Sets,Two-Piece Set,Holiday,New,Ecommerce,2025,1308,97640.02,2429,1180
ST-0089,Tulip Garden Blouse,Tulip Garden,Women,Tops,Women Tops,Blouse,Spring,New,Ecommerce,2026,1216,97044.28,1600,577
ST-0056,Tulip Garden Two-Piece Set,Tulip Garden,Boys,Sets,Boys Sets,Two-Piece Set,Spring,New,Ecommerce,2026,1451,91962.57,2477,1192
ST-0023,Acorn Toile Two-Piece Set,Acorn Toile,Girls,Sets,Girls Sets,Two-Piece Set,Fall,New,Ecommerce,2026,1191,87394.98,1759,421
ST-0093,Strawberry Fields Tunic,Strawberry Fields,Women,Tops,Women Tops,Tunic,Summer,New,Ecommerce,2025,1095,85622.73,1735,1062
ST-0038,Snowdrop Quilted Jacket,Snowdrop,Girls,Outerwear,Girls Outerwear,Quilted Jacket,Holiday,New,Ecommerce,2025,759,85509.5,717,309
ST-0027,Candy Cane Stripe Romper,Candy Cane Stripe,Girls,Sets,Girls Sets,Romper,Holiday,New,Ecommerce,2026,1465,85094.42,2342,626
ST-0026,Palm Frond Romper,Palm Frond,Girls,Sets,Girls Sets,Romper,Summer,New,Ecommerce,2025,1140,84754.58,1570,734
ST-0086,Autumn Gingham Maxi Dress,Autumn Gingham,Women,Dresses,Women Dresses,Maxi Dress,Fall,New,Retail Stores,2025,528,83898.77,1226,657
ST-0038,Snowdrop Quilted Jacket,Snowdrop,Girls,Outerwear,Girls Outerwear,Quilted Jacket,Holiday,New,Retail Stores,2026,713,83126.62,1516,865
ST-0024,Winter Fair Isle Two-Piece Set,Winter Fair Isle,Girls,Sets,Girls Sets,Two-Piece Set,Holiday,Carryover,Ecommerce,2026,1063,82113.28,1258,267
ST-0003,Autumn Gingham Day Dress,Autumn Gingham,Girls,Dresses,Girls Dresses,Day Dress,Fall,New,Ecommerce,2025,976,80609.36,2042,521
ST-0038,Snowdrop Quilted Jacket,Snowdrop,Girls,Outerwear,Girls Outerwear,Quilted Jacket,Holiday,New,Retail Stores,2025,684,78611.27,1077,511
ST-0087,Ditsy Rose Day Dress,Ditsy Rose,Women,Dresses,Women Dresses,Day Dress,Spring,New,Retail Stores,2026,609,78526.46,981,359
ST-0087,Ditsy Rose Day Dress,Ditsy Rose,Women,Dresses,Women Dresses,Day Dress,Spring,New,Wholesale,2026,764,78105.86,1161,711
ST-0026,Palm Frond Romper,Palm Frond,Girls,Sets,Girls Sets,Romper,Summer,New,Ecommerce,2026,1077,77710.75,1935,826
ST-0022,Cherry Blossom Two-Piece Set,Cherry Blossom,Girls,Sets,Girls Sets,Two-Piece Set,Spring,New,Ecommerce,2025,1098,77271.68,1850,1127
ST-0003,Autumn Gingham Day Dress,Autumn Gingham,Girls,Dresses,Girls Dresses,Day Dress,Fall,New,Ecommerce,2026,920,77187.49,1554,683
ST-0087,Ditsy Rose Day Dress,Ditsy Rose,Women,Dresses,Women Dresses,Day Dress,Spring,New,Retail Stores,2025,570,77175.91,804,412
ST-0085,Strawberry Fields Maxi Dress,Strawberry Fields,Women,Dresses,Women Dresses,Maxi Dress,Summer,New,Retail Stores,2026,503,76614.77,643,180
ST-0090,Palm Frond Blouse,Palm Frond,Women,Tops,Women Tops,Blouse,Summer,New,Ecommerce,2025,956,76249.71,1629,786
ST-0002,Strawberry Fields Day Dress,Strawberry Fields,Girls,Dresses,Girls Dresses,Day Dress,Summer,New,Retail Stores,2026,879,75686.78,1707,933
ST-0006,Winter Fair Isle Maxi Dress,Winter Fair Isle,Girls,Dresses,Girls Dresses,Maxi Dress,Holiday,New,Wholesale,2025,1247,75409.59,2023,660
ST-0085,Strawberry Fields Maxi Dress,Strawberry Fields,Women,Dresses,Women Dresses,Maxi Dress,Summer,New,Wholesale,2025,627,74934.53,467,189
ST-0058,Holiday Holly Two-Piece Set,Holiday Holly,Boys,Sets,Boys Sets,Two-Piece Set,Holiday,New,Ecommerce,2026,1041,74477.52,1407,812
ST-0038,Snowdrop Quilted Jacket,Snowdrop,Girls,Outerwear,Girls Outerwear,Quilted Jacket,Holiday,New,Wholesale,2025,812,73658.79,1158,439
ST-0100,Acorn Toile PJ Set,Acorn Toile,Women,Sleepwear,Women Sleepwear,PJ Set,Fall,New,Ecommerce,2026,881,73486.41,1312,638
ST-0086,Autumn Gingham Maxi Dress,Autumn Gingham,Women,Dresses,Women Dresses,Maxi Dress,Fall,New,Retail Stores,2026,471,73408.52,958,642
ST-0024,Winter Fair Isle Two-Piece Set,Winter Fair Isle,Girls,Sets,Girls Sets,Two-Piece Set,Holiday,Carryover,Ecommerce,2025,1038,73256.75,2102,1421
ST-0029,Hydrangea Rash Guard Set,Hydrangea,Girls,Swim,Girls Swim,Rash Guard Set,Spring,New,Ecommerce,2025,1291,72159.58,2138,1222
ST-0090,Palm Frond Blouse,Palm Frond,Women,Tops,Women Tops,Blouse,Summer,New,Ecommerce,2026,889,71962.82,1602,985
ST-0038,Snowdrop Quilted Jacket,Snowdrop,Girls,Outerwear,Girls Outerwear,Quilted Jacket,Holiday,New,Wholesale,2026,792,71844.54,1557,837
ST-0046,Lemon Grove Polo,Lemon Grove,Boys,Tops,Boys Tops,Polo,Summer,New,Ecommerce,2026,1272,71301.96,1687,522
ST-0014,Acorn Toile Cardigan,Acorn Toile,Girls,Tops,Girls Tops,Cardigan,Fall,New,Ecommerce,2025,1267,71264.74,1491,710
ST-0022,Cherry Blossom Two-Piece Set,Cherry Blossom,Girls,Sets,Girls Sets,Two-Piece Set,Spring,New,Ecommerce,2026,986,71026.46,1814,1336
ST-0092,Winter Fair Isle Blouse,Winter Fair Isle,Women,Tops,Women Tops,Blouse,Holiday,New,Ecommerce,2026,805,70826.64,1161,517
ST-0004,Winter Fair Isle Day Dress,Winter Fair Isle,Girls,Dresses,Girls Dresses,Day Dress,Holiday,New,Retail Stores,2026,732,70717.16,962,582
ST-0003,Autumn Gingham Day Dress,Autumn Gingham,Girls,Dresses,Girls Dresses,Day Dress,Fall,New,Retail Stores,2025,813,70560.97,1130,780
ST-0093,Strawberry Fields Tunic,Strawberry Fields,Women,Tops,Women Tops,Tunic,Summer,New,Ecommerce,2026,833,70285.42,1647,932
ST-0099,Strawberry Fields PJ Set,Strawberry Fields,Women,Sleepwear,Women Sleepwear,PJ Set,Summer,New,Ecommerce,2026,1044,70082.49,1230,369
ST-0091,Wildflower Blouse,Wildflower,Women,Tops,Women Tops,Blouse,Fall,New,Ecommerce,2026,738,69691.36,1230,245
ST-0004,Winter Fair Isle Day Dress,Winter Fair Isle,Girls,Dresses,Girls Dresses,Day Dress,Holiday,New,Wholesale,2025,980,69141.74,1351,586
ST-0089,Tulip Garden Blouse,Tulip Garden,Women,Tops,Women Tops,Blouse,Spring,New,Ecommerce,2025,886,68917.31,1582,552
ST-0014,Acorn Toile Cardigan,Acorn Toile,Girls,Tops,Girls Tops,Cardigan,Fall,New,Ecommerce,2026,1144,68518.61,1973,1434
ST-0003,Autumn Gingham Day Dress,Autumn Gingham,Girls,Dresses,Girls Dresses,Day Dress,Fall,New,Wholesale,2026,1028,68087.32,838,256
ST-0003,Autumn Gingham Day Dress,Autumn Gingham,Girls,Dresses,Girls Dresses,Day Dress,Fall,New,Retail Stores,2026,759,66290.31,742,406
ST-0077,Pomegranate PJ Set,Pomegranate,Baby,Sleepwear,Baby Sleepwear,PJ Set,Fall,New,Ecommerce,2026,1550,65919.93,2015,650
ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Girls Dresses,Party Dress,Holiday,New,Wholesale,2026,951,65726.27,1151,162
ST-0009,Acorn Toile Blouse,Acorn Toile,Girls,Tops,Girls Tops,Blouse,Fall,New,Ecommerce,2026,1345,65401.33,2068,826
ST-0007,Cherry Blossom Blouse,Cherry Blossom,Girls,Tops,Girls Tops,Blouse,Spring,Carryover,Ecommerce,2026,1197,65279.83,1678,549
ST-0006,Winter Fair Isle Maxi Dress,Winter Fair Isle,Girls,Dresses,Girls Dresses,Maxi Dress,Holiday,New,Retail Stores,2025,837,65078.8,1080,691
ST-0048,Candy Cane Stripe Polo,Candy Cane Stripe,Boys,Tops,Boys Tops,Polo,Holiday,New,Ecommerce,2026,1246,64383.95,1511,966
ST-0096,Pomegranate Short,Pomegranate,Women,Bottoms,Women Bottoms,Short,Fall,New,Ecommerce,2026,919,64181.58,1727,568
ST-0054,Acorn Toile Pant,Acorn Toile,Boys,Bottoms,Boys Bottoms,Pant,Fall,New,Ecommerce,2025,1346,63934.98,2749,1891
ST-0100,Acorn Toile PJ Set,Acorn Toile,Women,Sleepwear,Women Sleepwear,PJ Set,Fall,New,Retail Stores,2025,768,63859.45,1371,1034
ST-0002,Strawberry Fields Day Dress,Strawberry Fields,Girls,Dresses,Girls Dresses,Day Dress,Summer,New,Wholesale,2026,943,63815.46,1255,386
ST-0004,Winter Fair Isle Day Dress,Winter Fair Isle,Girls,Dresses,Girls Dresses,Day Dress,Holiday,New,Wholesale,2026,904,63779.73,1078,357
ST-0097,Holiday Holly Short,Holiday Holly,Women,Bottoms,Women Bottoms,Short,Holiday,New,Ecommerce,2025,958,63647.01,1095,658
ST-0091,Wildflower Blouse,Wildflower,Women,Tops,Women Tops,Blouse,Fall,New,Wholesale,2025,898,63356.41,1670,1063
ST-0077,Pomegranate PJ Set,Pomegranate,Baby,Sleepwear,Baby Sleepwear,PJ Set,Fall,New,Ecommerce,2025,1495,63321.15,2748,1197
ST-0060,Nantucket Stripe Swim Trunk,Nantucket Stripe,Boys,Swim,Boys Swim,Swim Trunk,Summer,Carryover,Ecommerce,2026,1007,61926.97,1628,901
ST-0061,Garden Trellis Rash Guard Set,Garden Trellis,Boys,Swim,Boys Swim,Rash Guard Set,Spring,New,Ecommerce,2026,1134,61458.2,1566,502
ST-0094,Snowdrop Tunic,Snowdrop,Women,Tops,Women Tops,Tunic,Holiday,New,Ecommerce,2026,777,61196.42,1442,551
ST-0099,Strawberry Fields PJ Set,Strawberry Fields,Women,Sleepwear,Women Sleepwear,PJ Set,Summer,New,Ecommerce,2025,854,61158.99,1886,795
ST-0098,Garden Trellis Pant,Garden Trellis,Women,Bottoms,Women Bottoms,Pant,Spring,New,Ecommerce,2025,952,61046.68,1625,702
ST-0101,Winter Fair Isle PJ Set,Winter Fair Isle,Women,Sleepwear,Women Sleepwear,PJ Set,Holiday,Carryover,Retail Stores,2025,782,60189.58,1235,673
ST-0096,Pomegranate Short,Pomegranate,Women,Bottoms,Women Bottoms,Short,Fall,New,Ecommerce,2025,938,59743.17,1637,735
ST-0039,Seashell Button-Down,Seashell,Boys,Tops,Boys Tops,Button-Down,Summer,New,Ecommerce,2026,1197,58954.94,1788,808
ST-0055,Candy Cane Stripe Pant,Candy Cane Stripe,Boys,Bottoms,Boys Bottoms,Pant,Holiday,Carryover,Ecommerce,2025,1366,58931.94,1575,699
ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Girls Dresses,Party Dress,Holiday,New,Wholesale,2025,847,58538.54,1658,1412
ST-0011,Lemon Grove Tee,Lemon Grove,Girls,Tops,Girls Tops,Tee,Summer,New,Ecommerce,2026,1171,58520.01,1452,724
ST-0101,Winter Fair Isle PJ Set,Winter Fair Isle,Women,Sleepwear,Women Sleepwear,PJ Set,Holiday,Carryover,Wholesale,2025,990,58442.47,1398,495
ST-0002,Strawberry Fields Day Dress,Strawberry Fields,Girls,Dresses,Girls Dresses,Day Dress,Summer,New,Retail Stores,2025,670,58364.56,1333,911
ST-0006,Winter Fair Isle Maxi Dress,Winter Fair Isle,Girls,Dresses,Girls Dresses,Maxi Dress,Holiday,New,Retail Stores,2026,706,58259.7,1082,67
ST-0069,Autumn Gingham Coverall,Autumn Gingham,Baby,Rompers,Baby Rompers,Coverall,Fall,New,Ecommerce,2026,1288,57502.21,1956,842
ST-0006,Winter Fair Isle Maxi Dress,Winter Fair Isle,Girls,Dresses,Girls Dresses,Maxi Dress,Holiday,New,Wholesale,2026,948,57328.21,998,461
ST-0032,Pomegranate PJ Set,Pomegranate,Girls,Sleepwear,Girls Sleepwear,PJ Set,Fall,New,Ecommerce,2026,1143,56852.45,1744,258
ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Girls Dresses,Party Dress,Holiday,New,Retail Stores,2025,660,56791.36,1011,382
ST-0090,Palm Frond Blouse,Palm Frond,Women,Tops,Women Tops,Blouse,Summer,New,Retail Stores,2025,733,56744.97,1072,476
ST-0035,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Girls Sleepwear,Nightgown,Summer,New,Ecommerce,2025,1086,56252.02,1818,665
ST-0070,Winter Fair Isle Coverall,Winter Fair Isle,Baby,Rompers,Baby Rompers,Coverall,Holiday,New,Ecommerce,2026,1292,55709.91,2390,324
ST-0042,Lemon Grove Tee,Lemon Grove,Boys,Tops,Boys Tops,Tee,Summer,New,Ecommerce,2025,1055,55349.88,1397,534
ST-0042,Lemon Grove Tee,Lemon Grove,Boys,Tops,Boys Tops,Tee,Summer,New,Ecommerce,2026,1022,55052.77,1469,1017
ST-0005,Palm Frond Maxi Dress,Palm Frond,Girls,Dresses,Girls Dresses,Maxi Dress,Summer,New,Wholesale,2025,831,55039.46,1065,495
ST-0013,Hydrangea Cardigan,Hydrangea,Girls,Tops,Girls Tops,Cardigan,Spring,New,Ecommerce,2025,1155,54767.94,1683,960
ST-0095,Tulip Garden Short,Tulip Garden,Women,Bottoms,Women Bottoms,Short,Spring,New,Retail Stores,2025,786,54444.51,1255,836
ST-0057,Wildflower Two-Piece Set,Wildflower,Boys,Sets,Boys Sets,Two-Piece Set,Fall,New,Ecommerce,2026,940,54340.9,1449,712
ST-0095,Tulip Garden Short,Tulip Garden,Women,Bottoms,Women Bottoms,Short,Spring,New,Ecommerce,2025,773,54174.26,1242,846
ST-0025,Hydrangea Romper,Hydrangea,Girls,Sets,Girls Sets,Romper,Spring,New,Ecommerce,2025,908,54173.15,1887,335
ST-0008,Seashell Blouse,Seashell,Girls,Tops,Girls Tops,Blouse,Summer,New,Ecommerce,2025,987,54127.22,1467,374
ST-0097,Holiday Holly Short,Holiday Holly,Women,Bottoms,Women Bottoms,Short,Holiday,New,Ecommerce,2026,853,53982.84,1531,507
ST-0053,Strawberry Fields Pant,Strawberry Fields,Boys,Bottoms,Boys Bottoms,Pant,Summer,New,Ecommerce,2026,1266,53699.06,1912,797
ST-0002,Strawberry Fields Day Dress,Strawberry Fields,Girls,Dresses,Girls Dresses,Day Dress,Summer,New,Wholesale,2025,792,53596.86,1751,637
ST-0056,Tulip Garden Two-Piece Set,Tulip Garden,Boys,Sets,Boys Sets,Two-Piece Set,Spring,New,Wholesale,2026,1092,53456.46,1524,755
ST-0091,Wildflower Blouse,Wildflower,Women,Tops,Women Tops,Blouse,Fall,New,Retail Stores,2025,576,53425.04,916,350
ST-0050,Palm Frond Short,Palm Frond,Boys,Bottoms,Boys Bottoms,Short,Summer,New,Ecommerce,2025,1072,53297.89,1615,1076
ST-0091,Wildflower Blouse,Wildflower,Women,Tops,Women Tops,Blouse,Fall,New,Ecommerce,2025,570,53284.67,1044,424
ST-0004,Winter Fair Isle Day Dress,Winter Fair Isle,Girls,Dresses,Girls Dresses,Day Dress,Holiday,New,Retail Stores,2025,612,53264.38,910,65
ST-0008,Seashell Blouse,Seashell,Girls,Tops,Girls Tops,Blouse,Summer,New,Ecommerce,2026,993,53252.95,1648,467
ST-0046,Lemon Grove Polo,Lemon Grove,Boys,Tops,Boys Tops,Polo,Summer,New,Ecommerce,2025,946,53196.08,1476,871
ST-0100,Acorn Toile PJ Set,Acorn Toile,Women,Sleepwear,Women Sleepwear,PJ Set,Fall,New,Retail Stores,2026,637,53120.04,1290,374
ST-0023,Acorn Toile Two-Piece Set,Acorn Toile,Girls,Sets,Girls Sets,Two-Piece Set,Fall,New,Ecommerce,2025,730,53073.41,1338,550
ST-0036,Autumn Gingham Nightgown,Autumn Gingham,Girls,Sleepwear,Girls Sleepwear,Nightgown,Fall,New,Ecommerce,2025,1213,52906.12,1887,700
ST-0056,Tulip Garden Two-Piece Set,Tulip Garden,Boys,Sets,Boys Sets,Two-Piece Set,Spring,New,Ecommerce,2025,845,52384.94,909,118
ST-0019,Garden Trellis Legging,Garden Trellis,Girls,Bottoms,Girls Bottoms,Legging,Spring,New,Ecommerce,2025,1264,52379.84,2183,1517
ST-0020,Acorn Toile Legging,Acorn Toile,Girls,Bottoms,Girls Bottoms,Legging,Fall,New,Ecommerce,2025,1125,51969.91,1956,1358
ST-0052,Garden Trellis Pant,Garden Trellis,Boys,Bottoms,Boys Bottoms,Pant,Spring,New,Ecommerce,2025,1117,51805.19,1759,768
ST-0059,Hydrangea Swim Trunk,Hydrangea,Boys,Swim,Boys Swim,Swim Trunk,Spring,New,Ecommerce,2025,963,51368.54,1285,909
ST-0028,Tulip Garden One-Piece,Tulip Garden,Girls,Swim,Girls Swim,One-Piece,Spring,New,Ecommerce,2025,956,51344.52,1348,601
ST-0075,Tulip Garden PJ Set,Tulip Garden,Baby,Sleepwear,Baby Sleepwear,PJ Set,Spring,New,Ecommerce,2025,1127,50850.22,1420,499
ST-0045,Hydrangea Polo,Hydrangea,Boys,Tops,Boys Tops,Polo,Spring,New,Ecommerce,2026,897,50170.69,1211,339
ST-0047,Wildflower Polo,Wildflower,Boys,Tops,Boys Tops,Polo,Fall,Carryover,Ecommerce,2026,1023,50001.39,2198,1214
ST-0017,Seashell Short,Seashell,Girls,Bottoms,Girls Bottoms,Short,Summer,New,Ecommerce,2025,1211,49733.06,1558,839
ST-0071,Tulip Garden Two-Piece Set,Tulip Garden,Baby,Sets,Baby Sets,Two-Piece Set,Spring,New,Ecommerce,2025,875,49726.63,1483,556
ST-0062,Seashell Rash Guard Set,Seashell,Boys,Swim,Boys Swim,Rash Guard Set,Summer,New,Ecommerce,2026,963,49511.33,1227,264
ST-0017,Seashell Short,Seashell,Girls,Bottoms,Girls Bottoms,Short,Summer,New,Ecommerce,2026,1175,49263.5,1908,1115
ST-0075,Tulip Garden PJ Set,Tulip Garden,Baby,Sleepwear,Baby Sleepwear,PJ Set,Spring,New,Wholesale,2025,1420,49064.97,2134,629
ST-0085,Strawberry Fields Maxi Dress,Strawberry Fields,Women,Dresses,Women Dresses,Maxi Dress,Summer,New,Wholesale,2026,409,48880.74,734,32
ST-0021,Seashell Skirt,Seashell,Girls,Bottoms,Girls Bottoms,Skirt,Summer,New,Ecommerce,2025,1105,48880.05,1750,532
ST-0015,Winter Fair Isle Cardigan,Winter Fair Isle,Girls,Tops,Girls Tops,Cardigan,Holiday,Carryover,Ecommerce,2026,1015,48842.78,1886,734
ST-0100,Acorn Toile PJ Set,Acorn Toile,Women,Sleepwear,Women Sleepwear,PJ Set,Fall,New,Wholesale,2025,770,48781.66,1316,358
ST-0026,Palm Frond Romper,Palm Frond,Girls,Sets,Girls Sets,Romper,Summer,New,Retail Stores,2025,693,48515.8,1215,315
ST-0072,Strawberry Fields Two-Piece Set,Strawberry Fields,Baby,Sets,Baby Sets,Two-Piece Set,Summer,New,Ecommerce,2025,1078,48453.5,1784,746
ST-0027,Candy Cane Stripe Romper,Candy Cane Stripe,Girls,Sets,Girls Sets,Romper,Holiday,New,Ecommerce,2025,821,48378.9,1036,526
ST-0047,Wildflower Polo,Wildflower,Boys,Tops,Boys Tops,Polo,Fall,Carryover,Ecommerce,2025,984,48354.55,1524,825
ST-0041,Hydrangea Tee,Hydrangea,Boys,Tops,Boys Tops,Tee,Spring,New,Ecommerce,2025,917,48123.01,1426,819
ST-0005,Palm Frond Maxi Dress,Palm Frond,Girls,Dresses,Girls Dresses,Maxi Dress,Summer,New,Retail Stores,2026,563,47925.49,1092,426
ST-0037,Holiday Holly Nightgown,Holiday Holly,Girls,Sleepwear,Girls Sleepwear,Nightgown,Holiday,Carryover,Ecommerce,2025,872,47878.88,1131,414
ST-0012,Wildflower Tee,Wildflower,Girls,Tops,Girls Tops,Tee,Fall,New,Ecommerce,2025,1003,47844.08,2087,918
ST-0036,Autumn Gingham Nightgown,Autumn Gingham,Girls,Sleepwear,Girls Sleepwear,Nightgown,Fall,New,Ecommerce,2026,1083,47426.78,1697,726
ST-0033,Snowdrop PJ Set,Snowdrop,Girls,Sleepwear,Girls Sleepwear,PJ Set,Holiday,New,Ecommerce,2025,972,47338.45,1603,770
ST-0045,Hydrangea Polo,Hydrangea,Boys,Tops,Boys Tops,Polo,Spring,New,Wholesale,2026,1093,47209.73,1595,963
ST-0054,Acorn Toile Pant,Acorn Toile,Boys,Bottoms,Boys Bottoms,Pant,Fall,New,Wholesale,2026,1259,47127.9,2461,1182
ST-0052,Garden Trellis Pant,Garden Trellis,Boys,Bottoms,Boys Bottoms,Pant,Spring,New,Ecommerce,2026,995,47011.67,1348,611
ST-0005,Palm Frond Maxi Dress,Palm Frond,Girls,Dresses,Girls Dresses,Maxi Dress,Summer,New,Retail Stores,2025,523,46917.66,575,97
ST-0094,Snowdrop Tunic,Snowdrop,Women,Tops,Women Tops,Tunic,Holiday,New,Retail Stores,2025,576,46838.83,1027,755
ST-0062,Seashell Rash Guard Set,Seashell,Boys,Swim,Boys Swim,Rash Guard Set,Summer,New,Wholesale,2026,1198,46569.61,2213,1397
ST-0034,Cherry Blossom Nightgown,Cherry Blossom,Girls,Sleepwear,Girls Sleepwear,Nightgown,Spring,New,Ecommerce,2026,893,46423.25,1460,354
ST-0068,Strawberry Fields Coverall,Strawberry Fields,Baby,Rompers,Baby Rompers,Coverall,Summer,New,Ecommerce,2025,941,46328.03,940,317
ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Girls Dresses,Party Dress,Holiday,New,Retail Stores,2026,508,46176.39,867,404
ST-0059,Hydrangea Swim Trunk,Hydrangea,Boys,Swim,Boys Swim,Swim Trunk,Spring,New,Ecommerce,2026,875,45977.4,1694,1057
ST-0063,Strawberry Fields PJ Set,Strawberry Fields,Boys,Sleepwear,Boys Sleepwear,PJ Set,Summer,New,Ecommerce,2025,896,45942.82,1611,820
ST-0024,Winter Fair Isle Two-Piece Set,Winter Fair Isle,Girls,Sets,Girls Sets,Two-Piece Set,Holiday,Carryover,Retail Stores,2025,622,45877.08,1148,579
ST-0037,Holiday Holly Nightgown,Holiday Holly,Girls,Sleepwear,Girls Sleepwear,Nightgown,Holiday,Carryover,Ecommerce,2026,846,45784.52,1432,295
