merch_plan.dept_key,merch_plan.division,merch_plan.department,merch_plan.plan_version,merch_plan.fiscal_year,merch_plan.plan_sales_dollars,merch_plan.plan_receipts_cost,merch_plan.plan_gross_margin_dollars
Girls Sleepwear,Girls,Sleepwear,Original Plan,2024,2359968.32,1036593.73,1194778.65
Girls Sleepwear,Girls,Sleepwear,Original Plan,2025,2690363.92,1191562.16,1351349.87
Girls Sleepwear,Girls,Sleepwear,Original Plan,2026,3174629.38,1406633.41,1602042.5
Girls Swim,Girls,Swim,Current Plan,2025,1168318.79,512893.4,585005.38
Girls Swim,Girls,Swim,Current Plan,2026,1361982.27,603050.22,682372.02
Girls Swim,Girls,Swim,Current Plan,2024,1020650.27,452742.8,516916.7
Girls Swim,Girls,Swim,Original Plan,2025,1153013.11,506567.83,579127.69
Girls Swim,Girls,Swim,Original Plan,2026,1360555.44,605958.39,684862.25
Girls Swim,Girls,Swim,Original Plan,2024,1011414.99,447511.42,509957
Girls Tops,Girls,Tops,Current Plan,2026,3669653.87,1612167.82,1836612.07
Girls Tops,Girls,Tops,Current Plan,2025,3487949.63,1512618.75,1760219.29
Girls Tops,Girls,Tops,Current Plan,2024,3052769.46,1360172.57,1532885.22
Girls Tops,Girls,Tops,Original Plan,2026,4081666.36,1802211.58,2058658.46
Girls Tops,Girls,Tops,Original Plan,2025,3459039.28,1521295.81,1739523.61
Girls Tops,Girls,Tops,Original Plan,2024,3034244.96,1338150.32,1533981.39
Women Bottoms,Women,Bottoms,Current Plan,2025,576549.13,252423.99,290513.13
Women Bottoms,Women,Bottoms,Current Plan,2024,503538.17,224944.07,252182.59
Women Bottoms,Women,Bottoms,Current Plan,2026,644065.96,284202.89,324458.08
Women Bottoms,Women,Bottoms,Original Plan,2024,499464.17,221136.09,252066.21
Women Bottoms,Women,Bottoms,Original Plan,2026,671879.21,299356.38,336911.79
Women Bottoms,Women,Bottoms,Original Plan,2025,569389.18,252093.99,286598.92
Women Dresses,Women,Dresses,Current Plan,2025,718247.64,320360.14,362805.92
Women Dresses,Women,Dresses,Current Plan,2024,628575.12,274784.74,314388.63
Women Dresses,Women,Dresses,Current Plan,2026,824487.3,359428.22,418120
Women Dresses,Women,Dresses,Original Plan,2025,711736.47,312651.38,359647.97
Women Dresses,Women,Dresses,Original Plan,2024,624330.27,276490.04,314996.38
Women Dresses,Women,Dresses,Original Plan,2026,839849.05,371135.31,421440.12
Women Sleepwear,Women,Sleepwear,Current Plan,2025,427618.73,190839.92,216029.37
Women Sleepwear,Women,Sleepwear,Current Plan,2024,378163.64,164471.54,189758.59
Women Sleepwear,Women,Sleepwear,Current Plan,2026,496932.04,219091.36,251307.64
Women Sleepwear,Women,Sleepwear,Original Plan,2026,503909.4,227055.51,252753.02
Women Sleepwear,Women,Sleepwear,Original Plan,2024,374598.15,165936.45,188106.13
Women Sleepwear,Women,Sleepwear,Original Plan,2025,427041.87,185652.49,215755.47
Women Tops,Women,Tops,Current Plan,2026,986551.5,434915.6,493232.19
Women Tops,Women,Tops,Current Plan,2024,763555,339265.88,384575.95
Women Tops,Women,Tops,Current Plan,2025,857661.78,378811.48,430196.27
Women Tops,Women,Tops,Original Plan,2025,854083.82,373131.09,429449.13
Women Tops,Women,Tops,Original Plan,2024,749196.28,332542.23,374617.4
Women Tops,Women,Tops,Original Plan,2026,1007818.87,448476.93,509502.92
